POI_ID,Company_ID,Company_Name,HQ_Country,Service_Type,FY_Year,Total_Customers_To_POI,Active_Tourists,Avg_Customer_Rating,Revenue(USD),Marketing_Expenditure_USD,Avg_Booking_Value,Destinations_Preference_Index,Tech_Adaptability_index,Digital_Channel_Share,Customer_Retention,Avg_Trip_Cost_USD,Commission,CSR_Focus_index,Reviews,Booking_Platforms,POI_Name,Country,Region_type,POI_Latitude,POI_Longitude,POI_Type_Detailed,Time_To_Visit,Family_Friendly_Index,Transit_Time(in mins),Local_Transfer(USD),Accessebility_Value,Visitor_Volume(in thousands),Seasonality_Index,Food_Index,Operating_Hours,Safety_Index,Cost_of_POI,Connectivity_index,Common_Travel_Partner,Total_Visitors,Dominant_Age_Group,Origin_Country,Average_Sentiment_Score,Average_Rating,Avg_spend_per_head,Accesebility_index,Travel_mode,time_spent,Overall_experience,Engagement_Score,Family_Score,Profit_Margin,Revenue_Per_Customer,Marketing_ROI,POI_Category,Price_Tier,Digital_Adoption,Season_Category,Cluster,High_Performer
POI_00255,COMP_0020,Intrepid Travel,Indonesia,Tour Operator,2020,5313756,3951530,9.2,118421.86,19983.52,8.4,5.7,5.8,0.3,0.83,2156.52,138405.38,8.2,Perfect destination for families with children,Airbnb,Tokyo Scenic Viewpoint,Japan,Urban,35.718819,139.60121,Scenic Viewpoint,Summer Season,3.9,85,No,5.9,57051.1,6.8,5.7,9:00 AM - 21:00 PM,6.2,170.87,5.0,Solo,1,26-35,Canada,5.8,6.3,491.4,4.7,Bus,96 hours,5.9,6.97,5.05,0.831,0.02,5.93,Urban/Entertainment,Mid-Range,Low,Summer,1.0,0
POI_00256,COMP_0023,Norwegian Cruise Line,United States,Tour Operator,2022,426125,339718,7.4,392259.04,48316.05,7.0,3.8,4.8,0.45,0.51,855.3,440575.09,7.1,Beautiful setting with convenient location access,Booking.com,Singapore Mountain Resort,Singapore,Urban,1.377593,103.865318,Mountain Resort,April-June,4.6,34,No,5.5,581.1,3.6,4.7,24 Hours,6.2,302.05,5.3,Friends,5,26-35,United States,7.1,7.0,104.11,3.8,Train,60 mins,7.5,7.33,5.4,0.877,0.92,8.12,Nature/Adventure,Luxury,Low,Spring/Fall,1.0,0
POI_00257,COMP_0006,Wyndham Hotels,UAE,Travel Agency,2023,51804881,44235658,7.9,459772.57,81139.79,4.6,7.2,4.6,0.32,0.53,1372.23,540912.36,5.3,Excellent staff and well-maintained property throughout,Expedia,Paris Theme Park,France,Historical,48.815262,2.369115,Theme Park,October-December,5.6,20,No,4.5,1609.2,4.2,5.3,8:00 AM - 20:00 PM,7.2,387.05,5.4,Friends,3,65+,China,7.2,7.6,744.53,6.0,Train,90 mins,7.7,7.6,6.4,0.824,0.01,5.67,Urban/Entertainment,Luxury,Low,Year-Round,0.0,0
POI_00258,COMP_0024,MSC Cruises,Indonesia,Hotel Chain,2020,239140,169068,8.0,376069.23,43901.93,5.5,5.8,7.4,0.41,0.49,266.23,419971.16,5.8,Lovely place with authentic local experiences,Expedia,Barcelona Theme Park,Spain,Coastal,41.422054,2.19981,Theme Park,Summer Season,3.6,25,Yes,6.0,18062.0,6.8,4.8,8:00 AM - 22:00 PM,5.6,376.46,4.5,Solo,1,36-45,United States,6.9,7.0,439.55,5.4,Flight,48 hours,7.4,7.43,4.6,0.883,1.57,8.57,Urban/Entertainment,Luxury,Low,Summer,1.0,0
POI_00259,COMP_0013,Expedia Group,United States,Cruise Line,2022,702407,604273,8.4,224295.13,24655.59,4.8,7.4,4.7,0.84,0.57,1984.2,248950.72,7.0,Perfect destination for families with children,Airbnb,Tokyo Cultural Center,Japan,Urban,35.690137,139.6341,Cultural Center,Year-Round,7.6,23,No,7.0,8826.3,5.0,9.1,10:00 AM - 17:00 PM,6.8,234.77,9.2,Solo,1,46-55,United Kingdom,10.0,9.6,580.0,8.9,Train,24 hours,8.8,9.07,7.2,0.89,0.32,9.1,Cultural/Heritage,Mid-Range,High,Year-Round,0.0,1
POI_00260,COMP_0010,Minor Hotels,Australia,Tour Operator,2024,906178,729425,6.1,325158.63,65608.88,5.1,3.8,4.1,0.32,0.57,1506.48,390767.51,5.1,Relaxing environment with modern amenities available,Booking.com,Istanbul Food Market,Turkey,Historical,41.015428,28.972585,Food Market,Winter Season,6.5,108,No,6.5,5887.2,7.3,6.5,24 Hours,4.9,108.64,5.5,Friends,7,36-45,Germany,7.0,7.4,144.28,4.2,Car,240 mins,7.9,7.0,5.7,0.798,0.36,4.96,Urban/Entertainment,Mid-Range,Low,Winter,1.0,0
POI_00261,COMP_0029,Contiki Holidays,France,Resort,2021,3258688,2464621,7.3,85522.73,14232.67,7.1,3.7,6.3,0.79,0.6,636.64,99755.4,7.3,Relaxing environment with modern amenities available,Booking.com,Istanbul Nature Park,Turkey,Historical,40.959812,28.965666,Nature Park,January-March,5.7,22,No,6.6,6091.9,6.2,5.8,10:00 AM - 22:00 PM,6.6,347.84,5.5,Family,5,36-45,China,7.1,7.4,499.85,6.5,Flight,90 mins,7.2,7.2,6.15,0.834,0.03,6.01,Nature/Adventure,Luxury,Medium,Winter,1.0,0
POI_00262,COMP_0022,Royal Caribbean,United Kingdom,Tour Operator,2023,4353450,3774068,7.0,117712.52,28864.46,6.7,4.2,4.8,0.95,0.44,641.85,146576.98,3.8,Would definitely return for another visit soon,Direct Website,Singapore Wildlife Sanctuary,Singapore,Urban,1.37299,103.852174,Wildlife Sanctuary,October-December,6.7,24,Yes,6.8,554.9,3.9,6.1,10:00 AM - 18:00 PM,8.5,83.99,8.8,Solo,1,56-65,Australia,9.3,9.4,517.24,5.1,Train,240 mins,9.1,8.47,7.6,0.755,0.03,4.08,Nature/Adventure,Budget,High,Year-Round,0.0,0
POI_00263,COMP_0020,Intrepid Travel,Spain,Cruise Line,2022,193723,161252,7.8,145601.27,29051.61,6.4,6.8,6.2,0.93,0.69,138.92,174652.88,6.9,Breathtaking views and stunning natural scenery,TripAdvisor,Barcelona Food Market,Spain,Coastal,41.429477,2.123783,Beach Resort,Winter Season,6.8,32,No,3.9,10610.7,7.9,7.0,6:00 AM - 21:00 PM,6.1,83.33,7.0,Couple,2,36-45,Germany,6.9,7.0,301.18,5.5,Bus,240 mins,6.7,7.13,6.45,0.8,0.75,5.01,Beach/Island,Budget,High,Winter,1.0,0
POI_00264,COMP_0004,Hyatt Hotels,Singapore,Cruise Line,2020,2209637,1937669,7.6,243480.93,54696.13,7.0,7.3,5.0,0.78,0.53,458.48,298177.06,4.5,Unforgettable experience with lasting memories,TripAdvisor,Bangkok Mountain Resort,Thailand,Urban,13.722706,100.480319,Mountain Resort,Year-Round,8.8,117,Yes,5.7,3759.6,6.5,6.1,24 Hours,5.9,441.51,7.9,Friends,3,26-35,France,9.1,9.2,301.08,8.0,Train,72 hours,9.1,8.6,7.35,0.775,0.11,4.45,Nature/Adventure,Luxury,Medium,Year-Round,0.0,0
POI_00265,COMP_0016,TripAdvisor,Italy,Tour Operator,2020,2501273,1997426,6.5,379850.05,75513.89,3.3,5.2,4.7,0.42,0.42,1463.38,455363.94,5.0,Facility could use some updates and maintenance,Direct Website,Singapore Food Market,Singapore,Urban,1.382609,103.854858,Food Market,Summer Season,7.5,46,No,5.7,1448.6,7.1,8.0,8:00 AM - 21:00 PM,5.9,94.12,6.6,Family,3,46-55,China,7.6,8.2,253.57,6.0,Flight,120 hours,8.1,7.4,6.7,0.801,0.15,5.03,Urban/Entertainment,Budget,Low,Summer,1.0,0
POI_00266,COMP_0020,Intrepid Travel,France,Hotel Chain,2021,42588350,34638002,9.7,309585.82,52504.91,7.4,9.2,6.8,0.53,0.59,660.69,362090.73,8.9,Unforgettable experience with lasting memories,Expedia,London Nature Park,United Kingdom,Historical,51.505115,-0.164712,Nature Park,Winter Season,6.7,105,No,5.9,109.0,7.9,5.2,9:00 AM - 17:00 PM,6.8,484.6,4.7,Couple,2,26-35,Germany,7.3,6.9,238.07,4.2,Bus,180 mins,7.1,8.03,6.75,0.83,0.01,5.9,Nature/Adventure,Luxury,Medium,Winter,0.0,0
POI_00267,COMP_0025,Disney Cruise Line,UAE,Tour Operator,2022,2654071,1875071,6.5,492605.24,68447.81,4.9,5.0,3.6,0.42,0.52,3027.28,561053.05,4.2,Clean and comfortable with friendly staff members,Booking.com,Singapore Archaeological Site,Singapore,Urban,1.318039,103.866602,Archaeological Site,Summer Season,5.7,27,Yes,5.3,392.9,8.4,5.2,24 Hours,6.7,469.17,9.3,Family,5,65+,United States,8.8,9.7,328.9,7.9,Bus,72 hours,9.3,8.2,6.2,0.861,0.19,7.2,Cultural/Heritage,Luxury,Low,Summer,0.0,0
POI_00268,COMP_0001,Marriott International,Spain,Cruise Line,2021,1035803,797054,9.9,211643.94,47309.37,3.3,5.2,8.4,0.62,0.67,831.0,258953.31,8.0,Peaceful atmosphere perfect for relaxation and unwinding,Direct Website,Maldives Mountain Resort,Maldives,Island,3.170765,73.228507,Mountain Resort,Spring-Fall,7.4,23,Yes,7.9,111.4,4.4,9.1,24 Hours,7.6,136.78,6.6,Couple,2,56-65,Australia,10.0,9.8,285.91,8.7,Bus,96 hours,9.2,9.7,7.5,0.776,0.2,4.47,Nature/Adventure,Mid-Range,Medium,Spring/Fall,0.0,1
POI_00269,COMP_0018,Thomas Cook,Australia,Resort,2024,101968,87809,9.3,413782.58,92498.42,4.9,5.6,5.0,0.63,0.71,509.74,506281.0,8.6,Professional service and attention to detail,Airbnb,Paris Cultural Center,France,Historical,48.896676,2.395201,Cultural Center,Summer Season,5.6,109,Yes,6.8,251.5,6.8,3.9,8:00 AM - 21:00 PM,6.4,168.13,4.7,Couple,2,18-25,United States,7.1,7.5,661.34,6.9,Train,240 mins,7.5,7.97,6.0,0.776,4.06,4.47,Cultural/Heritage,Mid-Range,Medium,Summer,1.0,0
POI_00270,COMP_0003,IHG Hotels,United States,Hotel Chain,2023,1343370,1021844,7.5,122548.47,24321.15,7.1,4.2,7.3,0.78,0.59,865.84,146869.62,3.9,Amazing experience with exceptional service and beautiful facilities,Direct Website,Dubai Wildlife Sanctuary,UAE,Urban,25.195995,55.314241,Wildlife Sanctuary,July-September,3.8,74,Yes,5.0,982.0,3.2,4.3,24 Hours,5.3,364.13,5.3,Solo,1,36-45,France,6.0,6.2,165.46,4.4,Flight,180 mins,5.7,6.4,4.55,0.802,0.09,5.04,Nature/Adventure,Luxury,Medium,Summer,1.0,0
POI_00271,COMP_0030,Insight Vacations,United Kingdom,Tour Operator,2024,32391686,25379968,9.9,425139.8,94466.34,3.8,8.0,9.6,0.76,0.62,970.92,519606.14,6.7,Would definitely return for another visit soon,TripAdvisor,New York Archaeological Site,United States,Urban,40.667496,-73.999368,Archaeological Site,Summer Season,5.2,39,Yes,8.6,53.4,6.0,8.3,24 Hours,6.8,293.34,7.9,Couple,2,46-55,United States,9.5,9.1,769.19,7.0,Train,48 hours,8.9,9.43,6.0,0.778,0.01,4.5,Cultural/Heritage,Mid-Range,Medium,Summer,0.0,1
POI_00272,COMP_0013,Expedia Group,Australia,Cruise Line,2022,5025750,3774676,8.4,120565.72,27018.21,3.1,5.7,5.9,0.77,0.7,376.68,147583.93,4.5,Good value for money with comfortable accommodations,Direct Website,Paris Mountain Resort,France,Historical,48.866769,2.308268,Mountain Resort,April-June,6.0,60,No,6.7,331.2,6.3,6.8,24 Hours,4.7,137.36,6.3,Solo,1,46-55,France,8.4,7.7,684.47,7.1,Flight,30 mins,7.4,8.07,5.35,0.776,0.02,4.46,Nature/Adventure,Mid-Range,Medium,Spring/Fall,1.0,0
POI_00273,COMP_0001,Marriott International,Singapore,Resort,2024,351969,285590,6.2,335936.46,65330.6,2.9,4.7,5.4,0.97,0.42,3016.04,401267.06,5.8,Disappointing considering the price point charged,Airbnb,Bali Museum,Indonesia,Island,-8.332526,115.108704,Beach Resort,April-June,6.5,80,No,5.0,5550.4,6.1,6.5,9:00 AM - 20:00 PM,7.2,290.1,5.8,Solo,1,56-65,France,9.1,9.6,245.76,6.0,Train,60 mins,10.0,8.43,6.85,0.806,0.95,5.14,Beach/Island,Mid-Range,High,Spring/Fall,0.0,0
POI_00274,COMP_0003,IHG Hotels,United States,Hotel Chain,2021,1608942,1297224,7.6,244085.77,38286.34,5.9,5.4,6.6,0.88,0.49,1912.84,282372.11,7.0,Would definitely return for another visit soon,TripAdvisor,New York Adventure Park,United States,Urban,40.744479,-73.960041,Adventure Park,July-September,7.4,66,No,4.8,1465.9,6.9,6.4,24 Hours,6.1,350.02,6.6,Solo,1,56-65,China,9.4,9.2,510.74,6.7,Flight,30 mins,9.8,8.93,6.75,0.843,0.15,6.38,Nature/Adventure,Luxury,High,Summer,0.0,1
POI_00275,COMP_0013,Expedia Group,Italy,Hotel Chain,2023,7670556,6158069,9.7,227819.88,47672.59,5.0,7.6,6.4,0.33,0.67,3139.4,275492.47,4.9,Unforgettable experience with lasting memories,Airbnb,Istanbul Cultural Center,Turkey,Historical,40.996506,29.001352,Cultural Center,Summer Season,3.7,66,No,5.7,5778.3,7.9,4.5,24 Hours,4.0,411.2,4.3,Family,5,26-35,United States,6.6,6.1,760.32,4.6,Bus,48 hours,6.3,7.53,3.85,0.791,0.03,4.78,Cultural/Heritage,Luxury,Low,Summer,1.0,0
POI_00276,COMP_0008,Best Western,Singapore,Resort,2020,1158827,997850,7.4,359620.5,42456.13,7.1,5.2,6.6,0.49,0.7,1567.41,402076.63,3.8,Lovely place with authentic local experiences,Booking.com,Tokyo Art Gallery,Japan,Urban,35.688517,139.607743,Art Gallery,April-June,4.7,75,No,6.5,2566.1,5.2,7.0,24 Hours,5.9,394.3,6.2,Couple,2,18-25,China,8.0,8.0,553.67,4.1,Car,240 mins,8.2,7.87,5.3,0.882,0.31,8.47,Urban/Entertainment,Luxury,Low,Spring/Fall,1.0,0
POI_00277,COMP_0017,TUI Group,Italy,Resort,2022,5051698,3846582,9.8,226896.76,26101.49,6.7,6.9,5.7,0.42,0.73,728.58,252998.25,8.6,Beautiful setting with convenient location access,Expedia,Bangkok Museum,Thailand,Urban,13.789857,100.456166,Museum,April-June,6.5,15,Yes,4.1,2438.2,4.0,3.7,6:00 AM - 19:00 PM,4.2,160.14,6.6,Family,4,65+,Japan,7.2,6.9,742.8,4.9,Flight,30 mins,6.5,7.83,5.35,0.885,0.04,8.69,Cultural/Heritage,Mid-Range,Low,Spring/Fall,1.0,0
POI_00278,COMP_0008,Best Western,United Kingdom,Resort,2022,344001,282249,6.1,466908.71,76080.02,2.5,3.8,3.1,0.88,0.57,1048.12,542988.73,3.5,Breathtaking views and stunning natural scenery,Expedia,Sydney Botanical Garden,Australia,Coastal,-33.830854,151.200302,Botanical Garden,Summer Season,4.2,44,No,5.2,4688.0,9.8,5.1,10:00 AM - 19:00 PM,6.2,352.09,5.3,Solo,1,36-45,Japan,7.9,7.9,616.98,7.4,Flight,96 hours,8.1,7.37,5.2,0.837,1.36,6.14,Urban/Entertainment,Luxury,High,Summer,1.0,0
POI_00279,COMP_0020,Intrepid Travel,UAE,Hotel Chain,2021,2004959,1414961,6.2,294889.4,41663.71,4.4,3.1,5.5,0.51,0.38,1513.52,336553.11,4.9,Exceeded expectations in every possible way,Direct Website,Bangkok Food Market,Thailand,Urban,13.728206,100.496104,Food Market,July-September,7.5,25,Yes,8.3,1569.1,6.3,6.5,7:00 AM - 22:00 PM,6.7,191.5,7.1,Solo,1,26-35,China,8.9,8.5,387.65,6.9,Flight,120 mins,8.8,7.97,7.1,0.859,0.15,7.08,Urban/Entertainment,Mid-Range,Medium,Summer,0.0,0
POI_00280,COMP_0025,Disney Cruise Line,Turkey,Travel Agency,2023,1092679,962485,8.8,417787.39,100085.05,4.9,6.8,4.6,0.6,0.78,257.02,517872.44,7.9,Best vacation spot we have visited recently,TripAdvisor,Barcelona Shopping District,Spain,Coastal,41.410073,2.133082,Beach Resort,Summer Season,7.9,95,Yes,4.8,5316.6,8.0,4.9,7:00 AM - 20:00 PM,6.0,401.04,7.2,Friends,4,18-25,Australia,8.6,7.9,514.8,5.5,Flight,24 hours,7.9,8.43,6.95,0.76,0.38,4.17,Beach/Island,Luxury,Medium,Summer,0.0,0
POI_00281,COMP_0011,NH Hotel Group,Indonesia,Tour Operator,2021,111498,79911,6.4,122615.31,22781.85,2.9,5.6,3.4,0.64,0.48,1128.6,145397.16,4.3,Disappointing considering the price point charged,Booking.com,Singapore Religious Site,Singapore,Urban,1.395344,103.864531,Religious Site,Summer Season,4.3,69,Yes,4.2,959.1,7.5,6.7,9:00 AM - 22:00 PM,5.9,126.85,5.3,Couple,2,46-55,Japan,7.5,7.5,203.22,6.0,Train,180 mins,7.6,7.17,5.1,0.814,1.1,5.38,Cultural/Heritage,Mid-Range,Medium,Summer,1.0,0
POI_00282,COMP_0016,TripAdvisor,Spain,Tour Operator,2022,1212704,886220,9.2,363723.66,46925.92,3.7,5.8,6.3,0.59,0.77,248.54,410649.58,4.9,Best vacation spot we have visited recently,Booking.com,Paris Archaeological Site,France,Historical,48.892532,2.313202,Archaeological Site,Spring-Fall,7.0,15,Yes,7.1,310.7,3.2,7.6,6:00 AM - 20:00 PM,7.2,263.05,8.3,Family,5,26-35,Japan,10.0,9.8,403.83,8.9,Flight,120 hours,10.0,9.73,7.1,0.871,0.3,7.75,Cultural/Heritage,Mid-Range,Medium,Spring/Fall,0.0,1
POI_00283,COMP_0012,Melia Hotels,Italy,Hotel Chain,2022,6510669,4944576,8.6,120342.64,25355.31,4.0,6.1,5.3,0.77,0.76,1354.1,145697.95,7.2,Disappointing considering the price point charged,Direct Website,Bali Religious Site,Indonesia,Island,-8.299066,115.068529,Religious Site,April-June,6.3,72,No,5.0,250.5,3.8,8.0,9:00 AM - 21:00 PM,5.8,412.65,6.1,Friends,3,18-25,Canada,9.4,9.6,439.4,6.5,Car,30 mins,9.3,9.1,6.05,0.789,0.02,4.75,Cultural/Heritage,Luxury,Medium,Spring/Fall,0.0,1
POI_00284,COMP_0002,Hilton Worldwide,France,Tour Operator,2022,1446333,1090721,7.4,439745.7,63066.54,2.6,7.4,4.3,0.99,0.7,1684.8,502812.24,6.6,Excellent staff and well-maintained property throughout,Booking.com,Bali Shopping District,Indonesia,Island,-8.333469,115.047358,Beach Resort,Winter Season,5.4,36,Yes,5.0,1129.6,8.2,4.2,10:00 AM - 21:00 PM,6.5,429.11,5.9,Solo,1,18-25,France,6.0,6.6,174.29,4.9,Cruise,60 mins,6.2,6.53,5.95,0.857,0.3,6.97,Beach/Island,Luxury,High,Winter,1.0,0
POI_00285,COMP_0020,Intrepid Travel,Turkey,Travel Agency,2023,318486,243978,7.9,57290.18,12761.79,5.5,7.3,4.7,0.95,0.66,1957.32,70051.97,7.2,Disappointing considering the price point charged,TripAdvisor,Singapore Scenic Viewpoint,Singapore,Urban,1.306159,103.861173,Scenic Viewpoint,Summer Season,6.0,97,No,4.8,2897.4,7.2,6.3,24 Hours,5.8,495.21,5.7,Family,4,65+,Canada,9.2,9.3,764.24,5.8,Flight,240 mins,9.4,8.83,5.9,0.777,0.18,4.49,Urban/Entertainment,Luxury,High,Summer,0.0,1
POI_00286,COMP_0018,Thomas Cook,United States,Hotel Chain,2023,30238898,27166401,6.2,353227.5,80194.33,3.1,3.8,5.5,0.48,0.56,752.68,433421.83,3.4,Best vacation spot we have visited recently,Expedia,Singapore Theme Park,Singapore,Urban,1.388262,103.864019,Theme Park,April-June,5.5,39,Yes,4.3,5240.9,4.1,6.7,7:00 AM - 20:00 PM,6.6,474.82,6.1,Couple,2,65+,Australia,8.4,8.1,442.53,6.1,Car,180 mins,7.7,7.43,6.05,0.773,0.01,4.4,Urban/Entertainment,Luxury,Low,Spring/Fall,1.0,0
POI_00287,COMP_0011,NH Hotel Group,Turkey,Cruise Line,2024,8761787,7329292,7.3,386185.22,51288.13,5.1,5.2,4.7,0.84,0.5,789.99,437473.35,6.2,Peaceful atmosphere perfect for relaxation and unwinding,Booking.com,London Scenic Viewpoint,United Kingdom,Historical,51.533446,-0.079307,Scenic Viewpoint,October-December,5.9,106,No,8.4,51476.9,6.4,7.3,24 Hours,7.3,271.96,8.2,Solo,1,46-55,United States,9.2,9.8,730.64,8.2,Flight,120 mins,10.0,8.83,6.6,0.867,0.04,7.53,Urban/Entertainment,Mid-Range,High,Year-Round,0.0,1
POI_00288,COMP_0015,Airbnb Inc,United Kingdom,Tour Operator,2020,19829307,16283815,6.2,56157.09,6303.06,5.5,3.2,5.4,0.54,0.48,664.76,62460.15,6.0,Lovely place with authentic local experiences,Expedia,Istanbul Archaeological Site,Turkey,Historical,40.975679,29.02711,Archaeological Site,January-March,6.9,49,Yes,4.5,93.8,6.9,5.3,10:00 AM - 20:00 PM,6.3,342.44,5.0,Friends,7,56-65,United Kingdom,8.3,8.2,294.75,4.4,Train,240 mins,7.6,7.37,6.6,0.888,0.0,8.91,Cultural/Heritage,Luxury,Medium,Winter,1.0,0
POI_00289,COMP_0002,Hilton Worldwide,Japan,Cruise Line,2023,2269362,1837341,7.0,275125.34,30376.34,3.0,4.5,5.8,0.98,0.43,1511.46,305501.68,6.6,Lovely place with authentic local experiences,TripAdvisor,New York Botanical Garden,United States,Urban,40.729761,-73.958933,Botanical Garden,Winter Season,5.4,59,No,4.8,5890.0,7.9,5.2,24 Hours,4.8,131.81,4.3,Couple,2,36-45,Australia,7.0,6.7,237.36,5.7,Car,120 mins,6.6,6.87,5.1,0.89,0.12,9.06,Urban/Entertainment,Mid-Range,High,Winter,1.0,0
POI_00290,COMP_0020,Intrepid Travel,UAE,Tour Operator,2022,1318454,1012825,6.4,406486.04,81888.3,6.0,4.5,3.7,0.8,0.45,2353.92,488374.34,4.9,Unforgettable experience with lasting memories,Direct Website,New York Wildlife Sanctuary,United States,Urban,40.682145,-74.034963,Wildlife Sanctuary,Summer Season,5.8,37,Yes,3.7,802.7,7.1,3.4,24 Hours,5.2,83.81,4.0,Couple,2,26-35,France,6.3,6.1,337.76,5.2,Train,240 mins,6.2,6.3,5.5,0.799,0.31,4.96,Nature/Adventure,Budget,Medium,Summer,1.0,0
POI_00291,COMP_0014,Booking Holdings,United States,Tour Operator,2024,1745290,1316631,8.7,300460.29,45492.58,3.9,7.2,7.1,0.72,0.53,979.41,345952.87,7.5,Great location but slightly crowded during peak season,Airbnb,Rome Theme Park,Italy,Historical,41.913576,12.486871,Theme Park,Spring-Fall,4.3,65,No,4.7,1461.7,4.5,4.8,10:00 AM - 19:00 PM,6.4,342.85,5.8,Friends,4,18-25,China,7.3,6.9,126.85,6.5,Bus,60 mins,6.9,7.63,5.35,0.849,0.17,6.6,Urban/Entertainment,Luxury,Medium,Spring/Fall,1.0,0
POI_00292,COMP_0003,IHG Hotels,Singapore,Hotel Chain,2024,2371050,2054049,6.5,370461.67,56861.95,6.1,5.4,3.6,0.58,0.56,182.75,427323.62,5.8,Outstanding service exceeded our expectations completely,Airbnb,Paris Mountain Resort,France,Historical,48.856232,2.342565,Mountain Resort,Year-Round,6.2,115,No,7.0,7585.4,6.2,4.8,24 Hours,6.6,201.58,7.2,Couple,2,18-25,France,9.3,8.7,154.84,4.7,Train,24 hours,9.3,8.37,6.4,0.847,0.16,6.52,Nature/Adventure,Mid-Range,Medium,Year-Round,0.0,0
POI_00293,COMP_0009,Radisson Hotel Group,Australia,Travel Agency,2021,2470123,2202180,7.0,92734.37,13654.0,4.9,5.3,3.8,0.68,0.51,372.11,106388.37,5.6,Clean and comfortable with friendly staff members,Booking.com,Barcelona Religious Site,Spain,Coastal,41.367794,2.184069,Religious Site,Winter Season,8.9,119,Yes,5.0,4230.6,9.3,6.2,10:00 AM - 22:00 PM,6.7,404.14,6.0,Family,4,65+,United States,9.7,9.7,492.24,8.4,Bus,120 mins,9.4,8.7,7.8,0.853,0.04,6.79,Cultural/Heritage,Luxury,Medium,Winter,0.0,1
POI_00294,COMP_0019,G Adventures,Indonesia,Resort,2022,1058494,949964,6.4,231216.67,46445.9,3.9,4.9,6.0,1.0,0.51,657.72,277662.57,5.8,Unforgettable experience with lasting memories,Direct Website,Paris Cultural Center,France,Historical,48.890644,2.372329,Cultural Center,Spring-Fall,6.2,57,Yes,6.4,713.9,3.8,4.9,8:00 AM - 21:00 PM,7.7,495.15,6.1,Couple,2,65+,Germany,8.4,9.2,645.67,5.8,Bus,60 mins,9.8,8.2,6.95,0.799,0.22,4.98,Cultural/Heritage,Luxury,High,Spring/Fall,0.0,0
POI_00295,COMP_0005,Accor Hotels,Turkey,Hotel Chain,2022,832048,603788,8.7,133987.97,13915.11,6.1,7.4,7.4,0.83,0.79,1833.51,147903.08,6.5,Professional service and attention to detail,Direct Website,Dubai Shopping District,UAE,Urban,25.207658,55.30186,Shopping District,January-March,7.4,26,No,7.7,11464.8,6.7,4.7,24 Hours,8.3,66.96,6.6,Family,4,56-65,France,8.3,8.9,622.42,4.5,Train,180 mins,8.3,8.43,7.85,0.896,0.16,9.63,Urban/Entertainment,Budget,High,Winter,0.0,0
POI_00296,COMP_0021,Carnival Corporation,United States,Tour Operator,2021,1136597,935898,7.1,88714.47,9630.31,6.4,4.2,4.0,0.97,0.45,1529.67,98344.78,5.2,Lovely place with authentic local experiences,Booking.com,Singapore Museum,Singapore,Urban,1.369613,103.811545,Museum,July-September,6.8,22,No,5.3,2656.1,6.4,7.7,10:00 AM - 17:00 PM,8.5,102.9,8.9,Family,3,46-55,Japan,8.0,8.9,798.2,5.7,Car,180 mins,9.2,8.1,7.65,0.891,0.08,9.21,Cultural/Heritage,Mid-Range,High,Summer,0.0,0
POI_00297,COMP_0021,Carnival Corporation,Indonesia,Cruise Line,2024,10014932,8287905,6.4,414465.99,77699.75,5.6,3.3,4.8,0.78,0.44,2118.2,492165.74,4.2,Beautiful setting with convenient location access,Booking.com,Rome Mountain Resort,Italy,Historical,41.884118,12.464284,Mountain Resort,Winter Season,6.7,40,No,7.0,15823.9,9.9,6.9,24 Hours,9.1,304.64,6.4,Solo,1,36-45,Germany,10.0,9.6,459.4,7.9,Car,90 mins,10.0,8.8,7.9,0.813,0.04,5.33,Nature/Adventure,Luxury,Medium,Winter,0.0,1
POI_00298,COMP_0012,Melia Hotels,Thailand,Resort,2021,76533317,63384365,8.9,75596.63,16251.7,5.6,5.3,7.6,0.69,0.65,229.3,91848.33,8.5,Clean and comfortable with friendly staff members,Direct Website,Tokyo Archaeological Site,Japan,Urban,35.658862,139.662631,Archaeological Site,January-March,3.2,62,Yes,4.1,526.5,4.8,3.9,24 Hours,4.1,360.11,5.0,Family,3,46-55,Germany,6.0,6.2,514.27,3.3,Car,60 mins,5.8,6.9,3.65,0.785,0.0,4.65,Cultural/Heritage,Luxury,Medium,Winter,1.0,0
POI_00299,COMP_0007,Choice Hotels,Japan,Resort,2021,15759804,13415545,8.8,77916.54,11757.28,5.4,6.2,8.5,0.48,0.57,1557.06,89673.82,7.0,Excellent staff and well-maintained property throughout,Airbnb,Los Angeles Nature Park,United States,Urban,34.064346,-118.215912,Nature Park,Winter Season,5.4,44,No,6.6,7353.2,7.4,7.1,10:00 AM - 22:00 PM,6.6,447.28,6.5,Family,4,18-25,Japan,8.1,8.0,624.52,7.9,Train,120 mins,7.3,8.07,6.0,0.849,0.0,6.63,Nature/Adventure,Luxury,Low,Winter,1.0,0
